iter	Passed	Remaining
857	1868	309
858	1870	306
859	1872	304
860	1874	302
861	1876	300
862	1878	298
863	1880	295
864	1882	293
865	1884	291
866	1886	289
867	1888	287
868	1890	285
869	1892	282
870	1894	280
871	1896	278
872	1898	276
873	1900	273
874	1902	271
875	1904	269
876	1906	267
877	1908	265
878	1910	263
879	1912	260
880	1914	258
881	1916	256
882	1918	254
883	1921	252
884	1923	249
885	1925	247
886	1927	245
887	1929	243
888	1931	241
889	1933	238
890	1935	236
891	1937	234
892	1939	232
893	1941	230
894	1943	227
895	1945	225
896	1947	223
897	1949	221
898	1952	219
899	1955	217
900	1957	215
901	1959	212
902	1961	210
903	1962	208
904	1964	206
905	1966	204
906	1969	201
907	1971	199
908	1972	197
909	1974	195
910	1976	193
911	1978	190
912	1980	188
913	1982	186
914	1985	184
915	1987	182
916	1988	180
917	1990	177
918	1992	175
919	1994	173
920	1996	171
921	1998	169
922	2000	166
923	2002	164
924	2004	162
925	2006	160
926	2008	158
927	2010	155
928	2011	153
929	2013	151
930	2016	149
931	2018	147
932	2020	145
933	2022	142
934	2024	140
935	2026	138
936	2028	136
937	2030	134
938	2032	132
939	2034	129
940	2036	127
941	2038	125
942	2040	123
943	2042	121
944	2044	118
945	2045	116
946	2049	114
947	2053	112
948	2057	110
949	2060	108
950	2062	106
951	2065	104
952	2067	101
953	2069	99
954	2071	97
955	2073	95
956	2075	93
957	2077	91
958	2079	88
959	2081	86
960	2083	84
961	2085	82
962	2087	80
963	2089	78
964	2091	75
965	2093	73
966	2095	71
967	2097	69
968	2099	67
969	2101	65
970	2103	62
971	2105	60
972	2107	58
973	2109	56
974	2111	54
975	2113	51
976	2115	49
977	2117	47
978	2119	45
979	2121	43
980	2123	41
981	2125	38
982	2127	36
983	2129	34
984	2131	32
985	2133	30
986	2135	28
987	2137	25
988	2138	23
989	2140	21
990	2143	19
991	2145	17
992	2147	15
993	2148	12
994	2150	10
995	2152	8
996	2154	6
997	2156	4
998	2158	2
999	2160	0
